group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Top villous SI,Soat2,88.58335,2.1254046,0.0,0.0,0.8814997873073106,0.6357053611994548
Top villous SI,Sgk2,88.53097,3.4010289,0.0,0.0,0.4238256325075455,0.07559064061790095
Top villous SI,Os9,88.49619,1.8733865,0.0,0.0,0.8586707719731804,0.6355917764652431
Top villous SI,Adipor2,88.48817,3.2428286,0.0,0.0,0.9686430206413191,0.8318945933666515
Top villous SI,B3gnt3,88.47451,1.8469166,0.0,0.0,0.8288127696639456,0.5801624261699228
Top villous SI,Clic5,88.33171,2.6602137,0.0,0.0,0.948670164279782,0.7298671058609723
Top villous SI,2200002D01Rik,88.16367,40.206524,0.0,0.0,0.999696153300788,0.9877044525215811
Top villous SI,Tmem37,88.053154,2.057646,0.0,0.0,0.8492110114043795,0.5881985461154021
Top villous SI,Sqor,88.052795,1.9220467,0.0,0.0,0.8665910425993072,0.6408450704225352
Top villous SI,Arl14,88.02831,2.4903097,0.0,0.0,0.5614479308039784,0.2452294411631077
Top villous SI,Synpo,88.00208,1.7539357,0.0,0.0,0.7169566714606924,0.4181621990004543
Top villous SI,Bach1,87.99472,2.0286744,0.0,0.0,0.6842830230720927,0.4058382553384825
Top villous SI,Arhgdia,87.97165,3.6392329,0.0,0.0,0.9854963842242794,0.9091606088141754
Top villous SI,Odc1,87.96111,2.4979584,0.0,0.0,0.8697510482711123,0.6939459336665152
Top villous SI,Pnp2,87.9261,3.376276,0.0,0.0,0.9611683918407034,0.8185483870967742
